#;H1;H2;H3;H4;H5;H6;H7;M1;M2;M3;M4;M5;M6;L1;L2;L3;L4;L5;L6;L7
00001;1;2;3;5;9;11;13;14;24;27;32;45;47;58;60;64;65;67;69;70
00002;2;4;5;7;11;12;22;23;27;28;31;41;44;46;48;53;54;62;66;70
00003;3;5;9;16;21;24;28;33;36;37;39;42;43;44;46;53;57;60;65;70
00004;5;7;10;17;26;28;32;33;35;36;39;42;44;46;49;52;57;58;60;68
00005;3;7;8;9;11;12;18;22;26;29;30;33;40;46;48;49;55;58;60;63
00006;1;2;6;10;11;16;17;21;27;35;42;45;49;56;59;63;66;68;69;70
00007;4;13;14;23;26;29;36;37;39;41;42;45;46;52;53;54;56;61;63;65
00008;5;9;11;15;19;21;22;25;30;36;38;41;42;45;56;57;60;65;66;68
00009;5;7;8;12;16;24;25;26;28;32;33;41;42;43;48;50;52;57;62;65
00010;3;4;9;12;14;22;26;30;33;37;41;47;53;54;57;61;62;67;68;69
00011;3;11;15;16;20;21;33;34;47;49;50;51;52;54;57;58;61;62;66;70
00012;2;8;9;10;13;18;19;22;23;24;28;33;34;37;41;42;43;45;51;61
00013;2;4;7;11;12;14;15;16;28;36;38;40;44;45;56;63;65;67;68;70
00014;7;9;12;13;15;19;21;29;30;31;34;36;37;39;41;48;53;62;64;68
00015;3;5;10;13;14;15;16;22;26;29;30;34;36;41;43;47;48;55;66;67
00016;2;3;7;8;15;20;22;32;35;41;49;50;51;53;54;58;59;60;69;70
00017;1;6;10;14;20;21;23;24;25;27;32;36;37;38;47;53;56;59;62;63
00018;4;11;12;15;25;28;30;31;33;35;39;43;45;49;51;56;59;63;66;69
00019;1;4;6;7;8;10;15;24;27;33;34;35;37;38;46;50;58;67;68;70
00020;10;11;12;14;15;17;18;23;25;37;38;42;52;53;54;55;63;64;65;68
00021;1;2;5;7;15;16;19;23;24;27;33;38;39;47;54;59;60;62;64;65
00022;2;4;5;7;14;22;25;27;28;29;32;35;42;45;49;51;52;58;61;65
00023;2;5;9;10;13;16;20;27;31;32;41;42;46;53;57;58;60;61;63;64
00024;3;5;9;10;18;19;22;23;25;28;37;44;49;50;53;55;59;63;66;70
00025;1;5;7;9;11;13;14;18;19;21;30;38;41;47;48;52;57;58;62;68
00026;3;4;7;9;15;20;21;23;25;31;32;33;38;56;57;60;62;63;64;69
00027;8;12;18;20;21;22;24;25;28;32;34;38;52;56;58;61;62;64;69;70
00028;5;8;13;14;16;20;22;28;31;32;38;41;43;44;45;51;52;59;67;69
00029;8;10;12;13;16;19;22;25;27;28;29;32;39;40;46;49;50;61;62;66
00030;5;8;9;12;16;26;29;31;37;38;40;46;50;53;54;55;57;58;59;66
00031;1;2;6;10;13;16;21;24;26;31;36;37;38;43;44;48;53;67;69;70
00032;3;7;10;12;14;15;25;27;33;34;38;41;42;47;48;54;55;58;59;62
00033;4;6;7;9;21;23;27;28;30;36;37;39;46;52;53;56;57;66;67;70
00034;5;7;13;14;18;21;22;24;33;38;39;47;48;50;54;57;59;61;68;70
00035;1;3;4;6;8;20;22;23;31;32;34;35;37;39;41;45;59;61;62;68
00036;1;2;4;7;9;11;18;19;27;32;33;39;43;49;50;52;57;64;66;67
00037;1;3;5;12;17;28;29;30;34;35;38;39;43;55;56;59;61;62;67;70
00038;1;3;4;10;12;14;18;20;21;26;30;36;40;44;45;49;62;66;68;70
00039;2;5;9;11;16;19;23;27;28;29;31;33;41;45;47;50;51;55;65;67
00040;3;4;17;18;25;26;27;32;34;37;38;47;51;52;53;56;58;64;67;69
00041;2;3;4;7;11;12;15;16;25;32;37;40;41;48;49;54;55;59;63;65
00042;1;3;8;17;18;19;24;31;33;37;42;43;46;48;49;54;59;62;64;65
00043;4;7;8;16;20;21;26;29;32;35;40;44;46;48;53;55;57;58;62;63
00044;2;12;14;15;19;23;25;29;34;35;47;48;50;57;59;61;64;66;67;68
00045;9;13;14;18;19;20;22;23;29;30;33;35;36;45;46;50;51;57;69;70
00046;1;2;4;5;12;14;18;19;20;21;22;33;49;52;55;58;59;65;66;68
00047;7;9;17;19;26;27;30;31;33;36;44;45;46;47;50;51;59;65;68;69
00048;1;3;4;6;7;12;13;17;23;24;29;31;33;38;49;50;57;58;67;70
00049;1;2;5;8;12;18;19;21;23;25;29;30;38;53;55;57;58;60;63;69
00050;7;8;12;16;18;22;23;25;26;29;30;32;33;40;41;46;48;56;57;65
00051;15;18;19;21;33;34;38;40;41;42;43;45;47;50;54;59;60;61;63;67
00052;2;5;6;9;16;20;21;22;25;29;37;40;41;42;53;56;59;62;68;69
00053;1;2;6;8;13;19;20;21;24;27;30;34;35;39;40;49;55;57;59;66
00054;12;16;18;19;20;24;31;33;34;38;40;41;43;45;50;58;59;62;67;68
00055;1;2;9;12;15;17;19;21;23;24;25;32;38;39;47;49;51;62;68;69
00056;3;16;17;18;19;20;22;24;25;27;36;37;41;42;44;50;56;60;65;67
00057;7;9;11;20;25;33;35;36;39;44;45;52;53;54;58;59;61;63;67;70
00058;2;4;7;18;19;26;29;31;32;36;41;43;44;45;46;54;57;59;65;70
00059;1;2;5;8;11;27;28;29;32;33;34;39;40;46;49;50;55;56;67;69
00060;11;24;25;29;31;33;34;36;39;44;45;46;50;54;56;58;62;63;66;70
00061;10;14;16;22;25;30;33;34;35;37;43;44;50;53;54;56;59;62;65;67
00062;1;10;16;20;23;25;28;34;35;37;39;40;41;45;52;62;63;64;66;69
00063;3;6;12;15;18;19;22;34;35;36;40;41;43;48;53;56;63;67;68;69
00064;3;4;5;6;8;12;16;21;28;29;33;39;41;45;50;52;59;61;63;68
00065;2;3;7;8;13;15;17;24;32;39;42;46;47;49;50;53;57;62;68;69
00066;4;6;7;10;13;17;19;20;21;22;24;26;36;39;41;49;55;61;64;68
00067;2;3;4;8;10;11;12;13;17;18;23;24;37;39;52;57;62;63;65;68
00068;4;13;17;21;25;26;29;34;35;36;39;40;41;45;50;51;54;56;63;70
00069;2;3;4;7;11;13;19;20;22;25;28;34;35;39;54;59;62;64;69;70
00070;4;8;12;14;15;16;26;27;36;39;41;45;47;48;56;59;60;62;68;70
00071;3;4;12;13;22;24;25;26;29;30;37;40;46;47;48;49;53;56;65;70
00072;6;7;8;11;17;20;22;27;34;38;46;57;60;61;64;65;66;67;68;70
00073;1;4;13;15;17;19;21;25;27;38;39;42;47;50;51;52;56;58;65;69
00074;2;11;18;21;23;24;25;29;35;36;37;38;40;43;44;45;53;56;57;63
00075;7;10;13;14;18;30;38;45;46;48;49;50;53;56;57;58;60;61;66;70
00076;3;7;8;9;11;17;22;30;32;38;40;42;43;44;47;50;58;61;62;68
00077;2;5;10;14;15;19;21;22;27;29;35;36;42;43;46;52;59;66;68;69
00078;4;5;9;10;11;15;19;21;24;25;28;30;33;38;42;46;62;63;67;69
